Constellation	XBayerFlamsteed	RA	Dec	Distance	Mag
CMa	X9Alp	6.7525694	-16.71314306	2.637061259	-1.44
Car	XAlp	6.39919184	-52.69571799	95.87727709	-0.62
Boo	X16Alp	14.2612076	19.18726997	11.25492403	-0.05
Cen	XAlp1	14.66136068	-60.83514707	1.347490972	-0.01
Lyr	X3Alp	18.61560722	38.78299311	7.756146746	0.03
Aur	X13Alp	5.27813767	45.99902927	12.93828438	0.08
Ori	X19Bet	5.24229756	-8.20163919	236.9668246	0.18
CMi	X10Alp	7.65514946	5.22750767	3.497359494	0.4
Eri	XAlp	1.62854213	-57.23666007	44.09171076	0.45
Ori	X58Alp	5.91952477	7.40703634	131.061599	0.45
Cen	XBet	14.06373459	-60.3729784	161.0305958	0.61
Aql	X53Alp	19.84630057	8.86738491	5.142974697	0.76
Cru	XAlp1	12.44331705	-63.09905586	98.32841691	0.77
Tau	X87Alp	4.59866679	16.50976164	19.96406468	0.87
Vir	X67Alp	13.41989015	-11.16124491	80.38585209	0.98
Sco	X21Alp	16.49012986	-26.43194608	185.1851852	1.06
Gem	X78Bet	7.75537884	28.02631031	10.33698573	1.16
PsA	X24Alp	22.96078488	-29.62183701	7.687576876	1.17
Cru	XBet	12.79536635	-59.68873246	108.1081081	1.25
Cyg	X50Alp	20.69053151	45.28033423	990.0990099	1.25
Cen	XAlp2	14.66094188	-60.83947139	1.347490972	1.35
Leo	X32Alp	10.13957205	11.96719513	23.7586125	1.36
CMa	X21Eps	6.9770963	-28.97208931	132.1003963	1.5
Gem	X66Alp	7.57666793	31.88863645	15.80527896	1.58
Cru	XGam	12.5194248	-57.11256922	26.96144513	1.59
Sco	X35Lam	17.56014624	-37.10374835	215.5172414	1.62
Ori	X24Gam	5.41885227	6.34973451	74.51564829	1.64
Tau	X112Bet	5.43819386	28.60787346	40.17677782	1.65
Car	XBet	9.22006688	-69.71747245	34.08316292	1.67
Ori	X46Eps	5.60355904	-1.20191725	411.5226337	1.69
Gru	XAlp	22.13718789	-46.96061593	31.09452736	1.73
Ori	X50Zet	5.67931244	-1.94257841	250.6265664	1.74
Vel	XGam2	8.15887648	-47.33661177	257.7319588	1.75
UMa	X77Eps	12.9004536	55.95984301	24.81389578	1.76
Sgr	X20Eps	18.40287397	-34.3843146	44.345898	1.79
Per	X33Alp	3.40537459	49.86124281	181.4882033	1.79
UMa	X50Alp	11.06217691	61.75111888	37.90750569	1.81
CMa	X25Del	7.13985723	-26.39320776	549.4505495	1.83
UMa	X85Eta	13.79237392	49.31330288	30.87372646	1.85
Car	XEps	8.37524019	-59.50953829	193.7984496	1.86
Sco	XThe	17.62197938	-42.99782155	83.4028357	1.86
Aur	X34Bet	5.99215817	44.94743492	25.17623364	1.9
TrA	XAlp	16.81107382	-69.02763503	127.388535	1.91
Vel	XDel	8.7450548	-54.70856797	24.44987775	1.93
Gem	X24Gam	6.62852842	16.39941482	32.13367609	1.93
Pav	XAlp	20.42745823	-56.73488071	56.17977528	1.94
UMi	X1Alp	2.52974312	89.26413805	132.2751323	1.97
CMa	X2Bet	6.37832983	-17.95591658	153.1393568	1.98
Hya	X30Alp	9.45979217	-8.65868335	54.34782609	1.99
Ari	X13Alp	2.11952383	23.46277743	20.21018593	2.01
Leo	X41Gam1	10.3328227	19.84186032	38.52080123	2.01
Cet	X16Bet	0.7264523	-17.9866841	29.37720329	2.04
Sgr	X34Sig	18.92108797	-26.29659428	68.77579092	2.05
Cen	X5The	14.11147907	-36.36869575	18.68460389	2.06
Gru	XBet	22.71109302	-46.88456594	52.1648409	2.07
UMi	X7Bet	14.84510983	74.15547596	38.77471888	2.07
And	X21Alp	0.13976888	29.09082805	29.76190476	2.07
And	X43Bet	1.16216599	35.62083048	61.12469438	2.07
Ori	X53Kap	5.79594109	-9.66960186	221.2389381	2.07
Oph	X55Alp	17.58222354	12.56057584	14.31844215	2.08
Per	X26Bet	3.13614714	40.9556512	28.45759818	2.09
And	X57Gam1	2.06497752	42.32984832	108.8139282	2.1
Leo	X94Bet	11.81774398	14.57233687	11.09139308	2.14
Cas	X27Gam	0.9451392	60.71674966	187.9699248	2.15
Cen	XGam	12.69200138	-48.95988553	39.9840064	2.2
Car	XIot	9.28484122	-59.27526115	212.3142251	2.21
Pup	XZet	8.0597417	-40.00318846	429.1845494	2.21
CrB	X5Alp	15.57810819	26.71491041	22.90950745	2.22
Vel	XLam	9.13327141	-43.43262406	175.7469244	2.23
Cyg	X37Gam	20.37047223	40.2566815	467.2897196	2.23
UMa	X79Zet	13.39872773	54.92541525	23.96357537	2.23
Cas	X18Alp	0.67510756	56.53740928	70.07708479	2.24
Dra	X33Gam	17.94343829	51.48895101	45.24886878	2.24
Ori	X34Del	5.53344437	-0.2990934	280.8988764	2.25
Cas	X11Bet	0.15280269	59.15021814	16.69727834	2.28
Cen	XEps	13.66479797	-53.46636269	115.2073733	2.29
Sco	X7Del	16.00555881	-22.62162024	123.1527094	2.29
Sco	X26Eps	16.83617915	-34.29260982	20.06018054	2.29
Lup	XAlp	14.69882606	-47.38814127	168.0672269	2.3
Cen	XEta	14.5917921	-42.15774562	94.60737938	2.33
UMa	X48Bet	11.0306641	56.38234478	24.348673	2.34
Boo	X36Eps	14.74979191	27.07417383	64.30868167	2.35
Peg	X8Eps	21.73642787	9.87500791	206.185567	2.38
Sco	XKap	17.70813327	-39.02992092	142.2475107	2.39
Phe	XAlp	0.43801871	-42.30512197	23.7304224	2.4
UMa	X64Gam	11.89715035	53.69473296	25.64760195	2.41
Oph	X35Eta	17.17296177	-15.72514757	25.79313903	2.43
Peg	X53Bet	23.06287038	28.08245462	61.08735492	2.44
Cep	X5Alp	21.30960598	62.58545529	14.96110114	2.45
CMa	X31Eta	7.40158473	-29.30311979	980.3921569	2.45
Vel	XKap	9.36856367	-55.01069531	165.2892562	2.47
Cyg	X53Eps	20.77012006	33.96945334	22.09456474	2.48
Peg	X54Alp	23.07933801	15.20536786	42.80821918	2.49
Oph	X13Zet	16.61931389	-10.5671518	140.4494382	2.54
Cet	X92Alp	3.03799418	4.08992539	67.47638327	2.54
Cen	XZet	13.92567635	-47.28826634	117.9245283	2.55
Sco	X8Bet1	16.0906208	-19.80539286	162.601626	2.56
Leo	X68Del	11.23511447	20.52403384	17.69285209	2.56
Cen	XDel	12.13931767	-50.72240999	121.2121212	2.58
Crv	X4Gam	12.26346329	-17.5419837	50.55611729	2.58
Lep	X11Alp	5.54550386	-17.82229227	393.7007874	2.58
Sgr	X38Zet	19.04353428	-29.88011429	27.31494127	2.6
Lib	X27Bet	15.28346439	-9.38286694	49.06771344	2.61
Ser	X24Alp	15.7377766	6.42551971	22.45172878	2.63
Ari	X6Bet	1.91065251	20.80829949	18.26817684	2.64
Col	XAlp	5.66081665	-34.07404941	82.23684211	2.65
Crv	X9Bet	12.57312057	-23.39662306	42.84490146	2.65
Aur	X37The	5.99534393	37.21276409	53.10674456	2.65
Cas	X37Del	1.43016751	60.23540347	30.47851265	2.66
Lup	XBet	14.97554279	-43.13386699	160.5136437	2.68
Boo	X8Eta	13.91142116	18.39858742	11.34172621	2.68
Mus	XAlp	12.61974547	-69.13553358	93.72071228	2.69
Vel	XMu	10.77947836	-49.42012517	35.4861604	2.69
Aur	X3Iot	4.94989339	33.16613537	156.9858713	2.69
Sco	X34Ups	17.512733	-37.29574016	158.9825119	2.7
Pup	XPi	7.28571226	-37.09748689	335.5704698	2.71
Sgr	X19Del	18.34989489	-29.82803914	93.72071228	2.72
Aql	X50Gam	19.77099171	10.61326869	141.2429379	2.72
Oph	X1Del	16.23910173	-3.69397562	52.19206681	2.73
Dra	X14Eta	16.39986301	61.51407536	26.89618074	2.73
Car	XThe	10.71595186	-64.39447937	134.589502	2.74
Vir	X29Gam	12.69444503	-1.44952231	11.83011948	2.74
Cen	XIot	13.34335154	-36.71208109	17.97268152	2.75
Lib	X9Alp2	14.84799369	-16.04161047	23.66863905	2.75
Ori	X44Iot	5.59055031	-5.90989984	406.504065	2.75
Oph	X60Bet	17.72454914	4.56691684	25.13826043	2.76
Her	X27Bet	16.50368379	21.4896485	45.31037608	2.78
Her	X64Alp1	17.24412845	14.39025314	117.2332943	2.78
Eri	X67Bet	5.13084276	-5.08626282	27.24053391	2.78
Cru	XDel	12.25243248	-58.74890179	111.6071429	2.79
Dra	X23Bet	17.5072158	52.30135901	110.864745	2.79
Lup	XGam	15.58568343	-41.16669497	173.9130435	2.8
Lep	X9Bet	5.47075731	-20.75923214	48.80429478	2.81
Her	X40Zet	16.68818808	31.60188695	10.79563856	2.81
Hyi	XBet	0.42755612	-77.25503511	7.474958888	2.82
Sgr	X22Lam	18.46618597	-25.42124732	23.69668246	2.82
Sco	X23Tau	16.59804428	-28.21596156	131.7523057	2.82
TrA	XBet	15.91911334	-63.42974973	12.30920729	2.83
Pup	X15Rho	8.12575059	-24.30443677	19.23446817	2.83
Peg	X88Gam	0.22059721	15.18361593	102.145046	2.83
