Hip	Const-abbreviations	Const-names	ProperName	B-F-ID	F-ID	B-ID	RA	Dec	Distance	Mag	AbsMag	Spectrum	ColorIndex
32349	CMa	Canis Major	Sirius	9Alp	9 CMa	α CMa	6.7525694	-16.71314306	2.637061259	-1.44	1.454398907	A0m...	0.009
30438	Car	Carina	Canopus	Alp		α Car	6.39919184	-52.69571799	95.87727709	-0.62	-5.528578458	F0Ib	0.164
69673	Boo	Boötes	Arcturus	16Alp	16 Boo	α Boo	14.2612076	19.18726997	11.25492403	-0.05	-0.3067128393	K2IIIp	1.239
71683	Cen	Centaurus	Rigel Kentaurus A	Alp1		α1 Cen	14.66136068	-60.83514707	1.347490972	-0.01	4.34237068	G2V	0.71
91262	Lyr	Lyra	Vega	3Alp	3 Lyr	α Lyr	18.61560722	38.78299311	7.756146746	0.03	0.5817699133	A0Vvar	-0.001
24608	Aur	Auriga	Capella	13Alp	13 Aur	α Aur	5.27813767	45.99902927	12.93828438	0.08	-0.4793834635	M1: comp	0.795
24436	Ori	Orion	Rigel	19Bet	19 Ori	β Ori	5.24229756	-8.20163919	236.9668246	0.18	-6.693437745	B8Ia	-0.03
37279	CMi	Canis Minor	Procyon	10Alp	10 CMi	α CMi	7.65514946	5.22750767	3.497359494	0.4	2.681298621	F5IV-V	0.432
7588	Eri	Eridanus	Achernar	Alp		α Eri	1.62854213	-57.23666007	44.09171076	0.45	-2.771784749	B3Vp	-0.158
27989	Ori	Orion	Betelgeuse	58Alp	58 Ori	α Ori	5.91952477	7.40703634	131.061599	0.45	-5.13737731	M2Ib	1.5
68702	Cen	Centaurus	Hadar	Bet		β Cen	14.06373459	-60.3729784	161.0305958	0.61	-5.424541999	B1III	-0.231
97649	Aql	Aquila	Altair	53Alp	53 Aql	α Aql	19.84630057	8.86738491	5.142974697	0.76	2.203928062	A7IV-V	0.221
60718	Cru	Crux	Acrux	Alp1		α1 Cru	12.44331705	-63.09905586	98.32841691	0.77	-4.193395235	B0.5IV	-0.243
21421	Tau	Taurus	Aldebaran	87Alp	87 Tau	α Tau	4.59866679	16.50976164	19.96406468	0.87	-0.6312448416	K5III	1.538
65474	Vir	Virgo	Spica	67Alp	67 Vir	α Vir	13.41989015	-11.16124491	80.38585209	0.98	-3.545898098	B1V	-0.235
80763	Sco	Scorpius	Antares	21Alp	21 Sco	α Sco	16.49012986	-26.43194608	185.1851852	1.06	-5.278031201	M1Ib + B2.5V	1.865
37826	Gem	Gemini	Pollux	78Bet	78 Gem	β Gem	7.75537884	28.02631031	10.33698574	1.16	1.088030415	K0IIIvar	0.991
113368	PsA	Piscis Austrinus	Fomalhaut	24Alp	24 PsA	α PsA	22.96078488	-29.62183701	7.687576876	1.17	1.741052641	A3V	0.145
62434	Cru	Crux		Bet		β Cru	12.79536635	-59.68873246	108.1081081	1.25	-3.919291336	B0.5III	-0.238
102098	Cyg	Cygnus	Deneb	50Alp	50 Cyg	α Cyg	20.69053151	45.28033423	990.0990099	1.25	-8.728393131	A2Ia	0.092
71681	Cen	Centaurus	Rigel Kentaurus B	Alp2		α2 Cen	14.66094188	-60.83947139	1.347490972	1.35	5.70237068	K1V	0.9
49669	Leo	Leo	Regulus	32Alp	32 Leo	α Leo	10.13957205	11.96719513	23.7586125	1.36	-0.5191053713	B7V	-0.087
33579	CMa	Canis Major	Adhara	21Eps	21 CMa	ε CMa	6.9770963	-28.97208931	132.1003963	1.5	-4.104520603	B2II	-0.211
36850	Gem	Gemini	Castor	66Alp	66 Gem	α Gem	7.57666793	31.88863645	15.80527896	1.58	0.5859891723	A2Vm	0.034
61084	Cru	Crux		Gam		γ Cru	12.5194248	-57.11256922	26.96144513	1.59	-0.5637158334	M4III	1.6
85927	Sco	Scorpius	Shaula	35Lam	35 Sco	λ Sco	17.56014624	-37.10374835	215.5172414	1.62	-5.047410097	B1.5IV+...	-0.231
25336	Ori	Orion	Bellatrix	24Gam	24 Ori	γ Ori	5.41885227	6.34973451	74.51564829	1.64	-2.721237421	B2III	-0.224
25428	Tau	Taurus	Alnath	112Bet	112 Tau	β Tau	5.43819386	28.60787346	40.17677782	1.65	-1.369875517	B7III	-0.13
45238	Car	Carina		Bet		β Car	9.22006688	-69.71747245	34.08316292	1.67	-0.9926994525	A2IV	0.07
26311	Ori	Orion	Alnilam	46Eps	46 Ori	ε Ori	5.60355904	-1.20191725	411.5226337	1.69	-6.381968632	B0Ia	-0.184
109268	Gru	Grus	Alnair	Alp		α Gru	22.13718789	-46.96061593	31.09452736	1.73	-0.7334197996	B7IV	-0.07
26727	Ori	Orion	Alnitak	50Zet	50 Ori	ζ Ori	5.67931244	-1.94257841	250.6265664	1.74	-5.255135522	O9.5Ib SB	-0.199
39953	Vel	Vela		Gam2		γ2 Vel	8.15887648	-47.33661177	257.7319588	1.75	-5.305841372	WC8 + O9I	-0.145
62956	UMa	Ursa Major	Alioth	77Eps	77 UMa	ε UMa	12.9004536	55.95984301	24.81389578	1.76	-0.2134747693	A0p	-0.022
90185	Sgr	Sagittarius	Kaus Australis	20Eps	20 Sgr	ε Sgr	18.40287397	-34.3843146	44.345898	1.79	-1.444267269	B9.5III	-0.031
15863	Per	Perseus	Mirphak	33Alp	33 Per	α Per	3.40537459	49.86124281	181.4882033	1.79	-4.504242006	F5Ib	0.481
54061	UMa	Ursa Major	Dubhe	50Alp	50 UMa	α UMa	11.06217691	61.75111888	37.90750569	1.81	-1.083626044	F7V comp	1.061
34444	CMa	Canis Major		25Del	25 CMa	δ CMa	7.13985723	-26.39320776	549.4505495	1.83	-6.86964306	F8Ia	0.671
